name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
DERBY-4006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,65,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25840278
DERBY-4012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,189,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.269803241
DERBY-4018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,207,3.269803241,2,1,2,2,2,1,1,1,1,1,3.269803241,3.269803241,3.269803241,3.269803241,3.269803241,0,0,0,0,0,169.3220486
DERBY-4025,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,53,3.269803241,3,1,3,3,3,1,1,1,1,1,3.269803241,3.269803241,3.269803241,3.269803241,3.269803241,0,0,0,0,0,4.341967593
DERBY-4027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,196,0,3,1,3,3,3,2,1,2,2,2,7.264103009,11.25840278,7.264103009,7.264103009,7.264103009,0,0,0,0,0,26.89449074
DERBY-4028,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2253,7.264103009,4,2,4,4,4,2,1,2,2,2,7.264103009,11.25840278,7.264103009,7.264103009,7.264103009,0,0,0,0,0,52.90170139
DERBY-4035,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,96,6.29005787,4,0,4,4,4,3,1,3,3,3,6.29005787,4.341967593,6.29005787,6.29005787,6.29005787,0,0,0,0,0,1596.942639
DERBY-4038,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,40,0,5,1,5,5,5,3,1,3,3,3,6.29005787,4.341967593,6.29005787,6.29005787,6.29005787,0,0,0,0,1,346.6671181
DERBY-4040,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,96,6.29005787,6,2,6,6,6,3,1,3,3,3,6.29005787,4.341967593,6.29005787,6.29005787,6.29005787,1,1,1,4.341967593,0,19.94645833
DERBY-4042,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,52,6.29005787,7,3,7,7,7,3,0,3,3,3,6.29005787,0,6.29005787,6.29005787,6.29005787,1,1,1,11.25840278,0,45.11491898
DERBY-4049,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,63,6.29005787,8,4,7,8,8,3,0,3,3,3,6.29005787,0,6.29005787,6.29005787,6.29005787,0,0,0,0,0,1.000231481
DERBY-4050,5,5,0.2,1,1,1,0.2,0.002433054,0,0.2,6,5,30,0.166666667,0,0,0,0,4,0.666666667,5,0.833333333,6,5,4.166666667,1,4,1,1,0,0,5,2,0,3,1,115,4.967601273,8,3,7,8,8,4,1,4,4,4,4.967601273,1.000231481,4.967601273,4.967601273,4.967601273,0,0,0,0,2,7.008472222
DERBY-4051,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,1,1,52,0,9,2,8,9,9,4,1,4,4,4,4.967601273,1.000231481,4.967601273,4.967601273,4.967601273,0,0,0,0,3,731.0358218
DERBY-4052,2,0,0,0,1,1,1,0.999999253,0,0,3,2,6,0.333333333,0,0,0,0,0,0,2,0.666666667,3,2,1.333333333,2,0,2,0,0,0,2,2,0,2,1,76,0,10,2,9,10,10,4,1,4,4,4,4.967601273,1.000231481,4.967601273,4.967601273,4.967601273,0.5,0.5,1,11.25840278,1,728.447338
DERBY-4053,4,4,0.25,1,1,0.571428571,0.467532468,0.005605971,0,0.142857143,5,4,20,0.2,0,0,0,0,3,0.6,4,0.8,8,7,6.125,3,1,3,1,0,0,4,4,0,3,1,141,4.967601273,11,3,10,11,11,4,1,3,4,4,4.967601273,1.000231481,5.533533951,4.967601273,4.967601273,0,0,0,0,4,153.7972569
DERBY-4060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,162,5.375775463,11,1,9,11,11,5,1,4,5,5,5.375775463,7.008472222,5.902268519,5.375775463,5.375775463,0,0,0,0,0,20.49630787
DERBY-4061,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,111,5.375775463,12,2,10,12,12,5,1,4,5,5,5.375775463,7.008472222,5.902268519,5.375775463,5.375775463,0,0,0,0,1,7.686331019
DERBY-4063,2,2,0.5,1,1,1,0.5,0.002441988,0,0.5,3,2,6,0.333333333,0,0,0,0,1,0.333333333,2,0.666666667,3,2,1.333333333,1,1,1,1,0,0,2,2,0,3,1,227,5.375775463,12,3,10,12,12,6,2,5,6,6,8.962228009,16.95148148,10.10071296,8.962228009,8.962228009,0,0,0,0,0,29.20136574
DERBY-4067,3,3,0.333333333,1,1,1,0.333333333,0.002364886,0,0.333333333,4,3,12,0.25,0,0,0,0,2,0.5,3,0.75,4,3,2.25,1,2,1,2,0,0,3,3,0,3,1,64,7.804222608,12,3,9,12,12,7,2,4,7,7,10.53140377,23.42047454,13.71241319,10.53140377,10.53140377,1,1,1,12.14421296,0,725.1456134
DERBY-4068,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,26,7.804222608,13,4,10,13,13,7,2,4,7,7,10.53140377,23.42047454,13.71241319,10.53140377,10.53140377,0,0,0,0,0,395.7617708
DERBY-4069,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,3,1,196,7.804222608,14,3,11,14,14,7,2,4,7,7,10.53140377,23.42047454,13.71241319,10.53140377,10.53140377,0,0,0,0,0,241.9551968
DERBY-4071,2,2,0.5,1,1,1,0.5,0.002441988,0,0.5,3,2,6,0.333333333,0,0,0,0,1,0.333333333,2,0.666666667,3,2,1.333333333,2,1,2,1,0,0,3,3,0,3,1,60,7.787380952,14,3,11,14,14,8,2,5,8,8,10.17576968,13.81639468,12.50719676,10.17576968,10.17576968,0,0,0,0,0,21.98356481
DERBY-4072,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,460,0,15,4,12,15,15,8,2,5,8,8,10.17576968,13.81639468,12.50719676,10.17576968,10.17576968,0.2,0.2,1,7.008472222,4,8.778935185
DERBY-4073,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,301,7.787380952,16,5,13,16,16,8,1,5,8,8,10.17576968,7.686331019,12.50719676,10.17576968,10.17576968,0.666666667,0.666666667,1,12.14421296,1,14.85114583
DERBY-4081,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,100,7.787380952,17,3,11,17,17,8,1,5,8,8,10.17576968,7.686331019,12.50719676,10.17576968,10.17576968,0.333333333,0.333333333,1,11.25840278,2,170.0525347
DERBY-4083,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,194,0,18,1,12,18,18,8,0,5,8,8,10.17576968,0,12.50719676,10.17576968,10.17576968,0.25,0.25,1,11.25840278,3,457.9166435
DERBY-4088,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,68,9.375996817,17,2,10,17,17,10,2,6,10,10,11.06814005,14.63762153,15.1351659,11.06814005,11.06814005,0,0,0,0,0,9.009837963
DERBY-4092,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,70,9.984346708,17,1,9,17,17,11,3,7,11,11,11.41204966,14.7087963,15.0945916,11.41204966,11.41204966,0,0,0,0,1,158.2018403
DERBY-4095,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1322,9.984346708,18,2,10,18,18,11,3,7,11,11,11.41204966,14.7087963,15.0945916,11.41204966,11.41204966,0.333333333,0.333333333,1,7.893703704,4,24.40168981
DERBY-4096,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,2,1,252,8.778935185,19,3,10,19,19,11,2,6,11,11,11.41204966,17.67372685,16.44227816,11.41204966,11.41204966,1,1,1,3.269803241,0,0.667418981
DERBY-4097,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,246,8.778935185,20,4,11,20,20,11,1,6,11,11,11.41204966,14.85114583,16.44227816,11.41204966,11.41204966,0.5,0.5,1,3.269803241,1,36.99451389
DERBY-4102,2,2,0.5,1,1,1,0.5,0.002441988,0,0.5,3,2,6,0.333333333,0,0,0,0,1,0.333333333,2,0.666666667,3,2,1.333333333,1,1,1,1,0,0,2,2,0,3,1,74,16.40713156,17,3,10,17,17,15,5,10,15,15,15.54842824,24.50900463,20.63475463,15.54842824,15.54842824,0.4,0.4,1,28.18666088,3,313.0758796
DERBY-4106,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,3,1,93,17.71932209,16,2,9,16,16,17,6,10,17,17,16.73007966,26.47980131,21.06915278,16.73007966,16.73007966,0,0,0,0,0,233.5773727
DERBY-4107,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,191,17.71932209,17,3,10,17,17,17,6,10,17,17,16.73007966,26.47980131,21.06915278,16.73007966,16.73007966,0,0,0,0,1,233.5640046
DERBY-4110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,164,17.71932209,18,4,11,18,18,17,6,10,17,17,16.73007966,26.47980131,21.06915278,16.73007966,16.73007966,0,0,0,0,0,289.5789815
DERBY-4116,2,2,0.5,1,1,1,0.5,0.002441988,0,0.5,3,2,6,0.333333333,0,0,0,0,1,0.333333333,2,0.666666667,3,2,1.333333333,1,1,1,1,0,0,2,2,0,3,1,60,17.71932209,19,4,12,19,19,17,3,10,17,17,16.73007966,20.06492284,21.06915278,16.73007966,16.73007966,0.285714286,0.285714286,1,7.893703704,5,8.618171296
DERBY-4117,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,2,1,166,4.723177083,20,5,13,20,20,17,3,10,17,17,16.73007966,20.06492284,21.06915278,16.73007966,16.73007966,0.333333333,0.333333333,1,28.18666088,4,1.117685185
DERBY-4118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,247,17.71932209,21,6,12,21,21,17,3,10,17,17,16.73007966,20.06492284,21.06915278,16.73007966,16.73007966,0.666666667,0.666666667,1,1.968611111,1,22.66777778
DERBY-4119,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,204,17.71932209,22,7,12,22,22,17,3,10,17,17,16.73007966,20.06492284,21.06915278,16.73007966,16.73007966,0.75,0.75,1,13.04652392,1,5.956412037
DERBY-4120,3,3,0.333333333,1,1,1,0.666666667,0.002814901,0,0.333333333,4,3,12,0.25,0,0,0,0,2,0.5,3,0.75,4,3,2.25,2,1,2,1,0,0,3,3,0,3,1,62,17.71932209,22,6,12,22,22,18,3,11,18,18,15.86272441,17.43420525,19.255383,15.86272441,15.86272441,0,0,0,0,0,474.1960417
DERBY-4121,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,2,1,100,3.521346451,23,7,13,23,23,18,3,11,18,18,15.86272441,17.43420525,19.255383,15.86272441,15.86272441,1,1,1,1.000231481,0,15.07369213
DERBY-4122,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,0,1,578,26.89449074,24,8,14,24,24,18,1,10,18,18,15.86272441,1.117685185,20.41228819,15.86272441,15.86272441,0,0,0,0,0,10.83858796
DERBY-4124,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,55,17.71932209,25,9,15,25,25,18,1,10,18,18,15.86272441,1.117685185,20.41228819,15.86272441,15.86272441,0,0,0,0,0,226.3419907
