name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
HADOOP-4977,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,520,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15267361
HADOOP-4979,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,111,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301643519
HADOOP-4982,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,31,0.301643519,2,2,2,2,2,1,1,1,1,1,0.301643519,0.301643519,0.301643519,0.301643519,0.301643519,0,0,0,0,0,3.122199074
HADOOP-4983,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,43,0,3,3,3,3,3,1,1,1,1,1,0.301643519,0.301643519,0.301643519,0.301643519,0.301643519,0,0,0,0,0,15.26298611
HADOOP-4985,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,3,1,44,0.301643519,4,4,4,4,4,1,1,1,1,1,0.301643519,0.301643519,0.301643519,0.301643519,0.301643519,0,0,0,0,0,5.797164352
HADOOP-4988,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,124,0,5,5,5,5,5,1,1,1,1,1,0.301643519,0.301643519,0.301643519,0.301643519,0.301643519,1,1,1,0.301643519,0,8.542071759
HADOOP-4992,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,101,0,6,6,6,6,6,1,1,1,1,1,0.301643519,0.301643519,0.301643519,0.301643519,0.301643519,0,0,0,0,0,0.014930556
HADOOP-4993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,20,0.301643519,6,6,6,6,6,2,2,2,2,2,0.158287037,0.158287037,0.158287037,0.158287037,0.158287037,0,0,0,0,0,8.746770833
HADOOP-4997,2,0,0,0,1,1,1,0.999999253,0,0,3,2,6,0.333333333,0,0,0,0,0,0,2,0.666666667,3,2,1.333333333,2,0,2,0,1,0,2,2,1,0,1,66,0.014930556,7,7,7,7,7,2,2,2,2,2,0.158287037,0.158287037,0.158287037,0.158287037,0.158287037,0,0,0,0,0,8.149583333
HADOOP-4999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,95,0.301643519,8,8,8,8,8,2,2,2,2,2,0.158287037,0.158287037,0.158287037,0.158287037,0.158287037,0,0,0,0,0,19.04868056
HADOOP-5002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,132,0.014930556,8,8,8,8,8,3,3,3,3,3,1.146257716,1.146257716,1.146257716,1.146257716,1.146257716,0,0,0,0,0,11.88761574
HADOOP-5006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,67,0,9,8,9,9,9,3,3,3,3,3,1.146257716,1.146257716,1.146257716,1.146257716,1.146257716,0,0,0,0,0,1383.837998
HADOOP-5008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,35,1.711921296,10,8,10,10,10,3,3,3,3,3,1.146257716,1.146257716,1.146257716,1.146257716,1.146257716,0,0,0,0,0,2.871377315
HADOOP-5009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,58,1.711921296,11,9,11,11,11,3,3,3,3,3,1.146257716,1.146257716,1.146257716,1.146257716,1.146257716,0,0,0,0,1,11.91853009
HADOOP-5017,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,2,1,23,0,10,7,10,10,10,5,4,5,5,5,2.421462963,2.951417824,2.421462963,2.421462963,2.421462963,1,1,1,5.797164352,0,2.02625
HADOOP-5022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,94,0.014930556,11,8,11,11,11,5,4,5,5,5,2.421462963,2.951417824,2.421462963,2.421462963,2.421462963,0,0,0,0,0,3.299039352
