name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
HBASE-1112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,128,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.8679861
HBASE-1114,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,406,0,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.081203704
HBASE-1116,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,160,0,3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.808634259
HBASE-1118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,29,0,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48.53238426
HBASE-1119,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,154,0,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.561956019
HBASE-1121,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,306,2.081203704,4,3,4,4,4,2,2,2,2,2,1.321579861,1.321579861,1.321579861,1.321579861,1.321579861,0.333333333,0.333333333,1,2.081203704,2,12.02782407
HBASE-1123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,663,0,5,4,5,5,5,2,2,2,2,2,1.321579861,1.321579861,1.321579861,1.321579861,1.321579861,0.25,0.25,1,2.081203704,3,155.1088194
HBASE-1124,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,56,2.081203704,6,5,6,6,6,2,2,2,2,2,1.321579861,1.321579861,1.321579861,1.321579861,1.321579861,0.5,0.5,1,0.561956019,1,1.496782407
HBASE-1125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1303,0.561956019,7,6,7,7,7,2,2,2,2,2,1.321579861,1.321579861,1.321579861,1.321579861,1.321579861,0.2,0.2,1,2.081203704,4,1.035127315
HBASE-1127,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0.798541667,6,5,6,6,6,4,4,4,4,4,1.293767361,1.293767361,1.293767361,1.293767361,1.293767361,0.333333333,0.333333333,1,1.558165509,4,1.543969907
HBASE-1129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,150,1.788993056,7,6,7,7,7,4,4,4,4,4,1.293767361,1.293767361,1.293767361,1.293767361,1.293767361,0.285714286,0.285714286,1,1.558165509,5,8.214398148
HBASE-1132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,668,3.46220679,6,3,6,6,6,6,5,6,6,6,2.254612269,2.593143519,2.254612269,2.254612269,2.254612269,0.5,0.5,1,2.867233796,4,0.900856481
HBASE-1134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,120,1.047017747,7,4,7,7,7,6,5,6,6,6,2.254612269,2.593143519,2.254612269,2.254612269,2.254612269,0,0,0,0,0,0.005358796
HBASE-1136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,88,2.821869213,6,2,6,6,6,8,6,8,8,8,1.804236111,1.965121528,1.804236111,1.804236111,1.804236111,0,0,0,0,0,0.483935185
HBASE-1139,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,1,1,37,0,7,3,7,7,7,8,6,8,8,8,1.804236111,1.965121528,1.804236111,1.804236111,1.804236111,0,0,0,0,0,0.067268519
HBASE-1140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,33,0,8,4,8,8,8,8,6,8,8,8,1.804236111,1.965121528,1.804236111,1.804236111,1.804236111,0,0,0,0,1,0.008842593
HBASE-1142,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,2,1,71,0,6,1,6,6,6,11,9,11,11,11,1.363085017,1.372308385,1.363085017,1.363085017,1.363085017,0,0,0,0,0,36.31983796
HBASE-1143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,28,2.354282407,7,2,7,7,7,11,9,11,11,11,1.363085017,1.372308385,1.363085017,1.363085017,1.363085017,0.555555556,0.555555556,1,2.473958333,4,134.5982292
HBASE-1148,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,1,0,1,1,1,4,1,184,0,8,2,8,8,8,11,7,11,11,11,1.363085017,1.402695106,1.363085017,1.363085017,1.363085017,0,0,0,0,0,0.889895833
HBASE-1152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,6,4.573376323,6,2,6,6,6,14,8,14,14,14,2.580432374,2.824797454,2.580432374,2.580432374,2.580432374,0.7,0.7,1,4.658859127,3,0.000659722
HBASE-1157,3,3,0.333333333,1,1,1,0,0.001515353,0,0,4,3,12,0.25,0,0,0,0,0,0,3,0.75,4,3,2.25,0,3,0,2,0,0,3,2,0,3,1,31,4.001786748,6,2,6,6,6,15,5,15,15,15,2.408447531,4.323342593,2.408447531,2.408447531,2.408447531,1,1,1,0.889895833,0,59.134375
HBASE-1161,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,27,4.001786748,7,1,7,7,7,15,4,15,15,15,2.408447531,5.283194444,2.408447531,2.408447531,2.408447531,0.666666667,0.666666667,1,1.029369213,1,103.3137616
HBASE-1162,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,209,4.001786748,8,2,8,8,8,15,4,15,15,15,2.408447531,5.283194444,2.408447531,2.408447531,2.408447531,0.5,0.5,1,1.029369213,2,111.9599306
HBASE-1166,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,0.038055556,9,3,9,9,9,15,1,15,15,15,2.408447531,0.000659722,2.408447531,2.408447531,2.408447531,1,1,1,0.038055556,0,0.129826389
HBASE-1167,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,38,4.001786748,10,4,10,10,10,15,1,15,15,15,2.408447531,0.000659722,2.408447531,2.408447531,2.408447531,0.666666667,0.666666667,1,0.038055556,1,0.56337963
HBASE-1169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1588,0.889895833,9,3,9,9,9,17,2,17,17,17,2.165877587,0.346603009,2.165877587,2.165877587,2.165877587,0,0,0,0,0,34.32085648
HBASE-1175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,270,3.619741512,10,4,9,10,10,17,2,17,17,17,2.165877587,0.346603009,2.165877587,2.165877587,2.165877587,0,0,0,0,1,2.250983796
HBASE-1179,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,22,0.068645833,11,4,10,11,11,17,2,17,17,17,2.165877587,0.346603009,2.165877587,2.165877587,2.165877587,0,0,0,0,2,0.030115741
HBASE-1181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,67,0.05901331,11,4,10,11,11,18,3,18,18,18,2.047224151,0.241107253,2.047224151,2.047224151,2.047224151,0,0,0,0,0,0.034826389
HBASE-1185,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,155,0,10,1,9,10,10,20,5,20,20,20,1.956792245,0.601826389,1.956792245,1.956792245,1.956792245,0,0,0,0,0,27.861875
HBASE-1187,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,64,3.482865741,11,2,10,11,11,20,5,20,20,20,1.956792245,0.601826389,1.956792245,1.956792245,1.956792245,1,1,1,0.005358796,0,1.920196759
HBASE-1190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,84,0,12,2,11,12,12,20,3,20,20,20,1.956792245,0.771975309,1.956792245,1.956792245,1.956792245,0,0,0,0,0,0.741655093
HBASE-1191,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,50,3.482865741,13,3,11,13,13,20,3,20,20,20,1.956792245,0.771975309,1.956792245,1.956792245,1.956792245,1,1,1,0.192329282,0,0.55462963
HBASE-1194,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0.786603009,11,1,8,11,11,23,4,21,23,23,1.841405495,1.366866319,1.890912698,1.841405495,1.841405495,0.5,0.5,1,0.889895833,1,0.05
HBASE-1196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,319,0.889895833,11,1,8,11,11,24,5,22,24,24,1.7667636,1.103493056,1.807234848,1.7667636,1.7667636,0.4,0.4,1,1.029369213,3,0.592743056
HBASE-1202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,60,3.10862365,11,0,7,11,11,25,2,18,25,25,1.719802778,0.321371528,1.636779835,1.719802778,1.719802778,0.666666667,0.666666667,1,0.469947917,1,52.65819444
HBASE-1206,3,3,0.333333333,1,1,1,0.666666667,0.002814901,0,0.333333333,4,3,12,0.25,0,0,0,0,2,0.5,3,0.75,4,3,2.25,2,1,2,1,0,0,3,3,0,3,1,402,3.10862365,12,1,7,12,12,25,0,14,25,25,1.719802778,0,2.000081019,1.719802778,1.719802778,0,0,0,0,0,116.4838657
HBASE-1207,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,474,3.10862365,13,2,8,13,13,25,0,14,25,25,1.719802778,0,2.000081019,1.719802778,1.719802778,0,0,0,0,1,116.4685648
HBASE-1209,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,98,0.054175926,14,3,8,14,14,25,0,14,25,25,1.719802778,0,2.000081019,1.719802778,1.719802778,0,0,0,0,0,4.697407407
HBASE-1211,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,157,3.10862365,15,4,9,15,15,25,0,10,25,25,1.719802778,0,0.686835648,1.719802778,1.719802778,0.727272727,0.727272727,1,4.076584201,3,8.036678241
HBASE-1212,2,0,0,0,1,1,1,0.999999253,0,0,3,2,6,0.333333333,0,0,0,0,0,0,2,0.666666667,3,2,1.333333333,2,0,2,0,0,0,2,2,0,3,1,123,3.10862365,16,5,10,16,16,25,0,10,25,25,1.719802778,0,0.686835648,1.719802778,1.719802778,0.666666667,0.666666667,1,4.076584201,4,1519.335648
HBASE-1219,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,192,0.639282407,17,5,11,17,17,25,0,10,25,25,1.719802778,0,0.686835648,1.719802778,1.719802778,0.615384615,0.615384615,1,4.076584201,5,13.67479167
HBASE-1220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,26,3.10862365,18,6,12,18,18,25,0,10,25,25,1.719802778,0,0.686835648,1.719802778,1.719802778,0.571428571,0.571428571,1,4.076584201,6,13.67319444
HBASE-1223,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,89,3.10862365,19,7,13,19,19,25,0,10,25,25,1.719802778,0,0.686835648,1.719802778,1.719802778,0,0,0,0,0,0.375081019
