name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
HDFS-29,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,80,0,14,1,4,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,172.2519213
HDFS-69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,21,0,3,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052.305938
HDFS-76,2,2,0.5,1,1,1,0,0.001451963,0,0,3,2,6,0.333333333,0,0,0,0,0,0,2,0.666666667,3,2,1.333333333,0,2,0,1,0,0,2,1,0,3,1,202,0,16,0,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.66518519
HDFS-94,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,3,1,46,0,7,2,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,280.0006597
HDFS-96,2,2,0.5,1,1,1,0,0.001451963,0,0,3,2,6,0.333333333,0,0,0,0,0,0,2,0.666666667,3,2,1.333333333,0,2,0,2,0,0,2,2,0,3,1,19,0,9,3,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549.5556134
HDFS-113,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,78,0,17,1,3,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.05833333
HDFS-118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,39,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012.655093
HDFS-119,2,2,0.5,1,1,1,0.5,0.002441988,0,0.5,3,2,6,0.333333333,0,0,0,0,1,0.333333333,2,0.666666667,3,2,1.333333333,1,1,1,1,1,0,2,2,1,3,1,111,0,6,1,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.945787
HDFS-145,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,165,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.7714815
HDFS-151,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,44,0,23,2,7,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863.225995
HDFS-153,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,163,0,12,2,7,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1939.209884
HDFS-158,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,158,0,4,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993.0682986
