name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
HIVE-209,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,20,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.887743056
HIVE-217,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,139,0,1,1,1,1,1,1,1,1,1,1,1.592986111,1.592986111,1.592986111,1.592986111,1.592986111,0,0,0,0,0,13.99928241
HIVE-220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,20,0,1,1,1,1,1,2,2,2,2,2,1.740364583,1.740364583,1.740364583,1.740364583,1.740364583,0,0,0,0,0,0.034502315
HIVE-222,2,2,0.5,1,1,1,0.5,0.002441988,0,0.5,3,2,6,0.333333333,0,0,0,0,1,0.333333333,2,0.666666667,3,2,1.333333333,1,1,1,1,0,0,2,2,0,0,1,124,0,1,1,1,1,1,3,3,3,3,3,1.171743827,1.171743827,1.171743827,1.171743827,1.171743827,0,0,0,0,0,2.520046296
HIVE-225,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,49,0,2,2,2,2,2,3,3,3,3,3,1.171743827,1.171743827,1.171743827,1.171743827,1.171743827,0,0,0,0,0,340.1119329
HIVE-228,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,23,0.034502315,3,3,3,3,3,3,3,3,3,3,1.171743827,1.171743827,1.171743827,1.171743827,1.171743827,1,1,1,0.034502315,0,0.043055556
HIVE-229,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,33,1.740364583,2,2,2,2,2,5,5,5,5,5,1.215666667,1.215666667,1.215666667,1.215666667,1.215666667,0,0,0,0,1,0.537372685
HIVE-230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,188,1.740364583,3,3,3,3,3,5,5,5,5,5,1.215666667,1.215666667,1.215666667,1.215666667,1.215666667,1,1,1,0.038778935,0,1.00662037
HIVE-232,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,93,1.339367284,3,3,3,3,3,6,5,6,6,6,1.10261767,1.004543981,1.10261767,1.10261767,1.10261767,0,0,0,0,0,2.185555556
HIVE-235,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,129,2.520046296,3,2,3,3,3,7,5,7,7,7,1.08890377,0.828319444,1.08890377,1.08890377,1.08890377,1,1,1,1.592986111,0,16.66914352
HIVE-236,2,1,1,0.5,0,2,1,0.707106781,0,0,3,2,6,0.333333333,0,0,0,0,0,0,1,0.333333333,2,2,1,1,1,1,1,0,0,2,2,0,3,1,45,1.256180556,4,3,4,4,4,7,5,7,7,7,1.08890377,0.828319444,1.08890377,1.08890377,1.08890377,0.5,0.5,1,1.592986111,1,262.4840509
