name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
SOLR-950,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,75,0,0,0,0,0,0,1,0,1,1,1,0.0234375,0,0.0234375,0.0234375,0.0234375,0,0,0,0,0,0.007824074
SOLR-951,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,857,0.007824074,0,0,0,0,0,2,1,2,2,2,0.015630787,0.007824074,0.015630787,0.015630787,0.015630787,1,1,1,0.007824074,0,2.902222222
SOLR-952,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,59,0.0234375,1,1,1,1,1,2,1,2,2,2,0.015630787,0.007824074,0.015630787,0.015630787,0.015630787,0,0,0,0,0,75.8203588
SOLR-957,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,20,0.0234375,1,1,1,1,1,3,2,3,3,3,0.977827932,1.455023148,0.977827932,0.977827932,0.977827932,0,0,0,0,0,0.245138889
SOLR-958,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0.0234375,2,2,2,2,2,3,2,3,3,3,0.977827932,1.455023148,0.977827932,0.977827932,0.977827932,0,0,0,0,1,0.227372685
SOLR-975,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,132,0,1,0,1,1,1,5,0,5,5,5,0.681199074,0,0.681199074,0.681199074,0.681199074,0,0,0,0,0,723.3613426
SOLR-976,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,68,0,2,1,2,2,2,5,0,5,5,5,0.681199074,0,0.681199074,0.681199074,0.681199074,1,1,1,0.0234375,0,16.99268519
SOLR-978,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,98,0,3,2,3,3,3,5,0,5,5,5,0.681199074,0,0.681199074,0.681199074,0.681199074,0,0,0,0,0,2.242233796
SOLR-981,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,69,2.242233796,3,2,3,3,3,6,1,6,6,6,0.941371528,2.242233796,0.941371528,0.941371528,0.941371528,0,0,0,0,0,0.154270833
SOLR-985,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,36,1.198252315,3,2,3,3,3,7,2,7,7,7,0.828928571,1.198252315,0.828928571,0.828928571,0.828928571,0,0,0,0,0,0.136458333
SOLR-986,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,59,0.165316358,4,3,4,4,4,7,2,7,7,7,0.828928571,1.198252315,0.828928571,0.828928571,0.828928571,1,1,1,0.236255787,0,10.10886574
SOLR-998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,44,0.844320988,4,1,4,4,4,8,3,8,8,8,0.742369792,0.844320988,0.742369792,0.742369792,0.742369792,0,0,0,0,0,11.12471065
SOLR-999,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,3,1,34,0.844320988,5,2,5,5,5,8,3,7,8,8,0.742369792,0.844320988,0.845074405,0.742369792,0.742369792,1,1,1,2.242233796,0,1.134571759
SOLR-1005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,71,0.916883681,5,1,5,5,5,9,1,8,9,9,0.785947788,1.134571759,0.881261574,0.785947788,0.785947788,0,0,0,0,0,1.761967593
SOLR-1008,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,23,0.916883681,5,2,5,5,5,10,2,9,10,10,1.718239583,5.62171875,1.906550926,1.718239583,1.718239583,0,0,0,0,0,42.38612269
SOLR-1009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,6,3,6,6,6,10,2,9,10,10,1.718239583,5.62171875,1.906550926,1.718239583,1.718239583,1,1,1,1.688402778,0,5.0146875
