name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
SPARK-585,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,21,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98696759
SPARK-587,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002395833
SPARK-589,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,11,0.002395833,2,2,2,2,2,1,1,1,1,1,0.002395833,0.002395833,0.002395833,0.002395833,0.002395833,0,0,0,0,0,290.2735069
SPARK-590,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,22,0.002395833,3,3,3,3,3,1,1,1,1,1,0.002395833,0.002395833,0.002395833,0.002395833,0.002395833,0,0,0,0,1,409.1294676
SPARK-597,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,3,1,180,0.002395833,4,3,4,4,4,1,1,1,1,1,0.002395833,0.002395833,0.002395833,0.002395833,0.002395833,0,0,0,0,1,80.4940625
SPARK-599,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,126,0.002395833,5,3,5,5,5,1,0,1,1,1,0.002395833,0,0.002395833,0.002395833,0.002395833,0,0,0,0,2,26.60133102
SPARK-600,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,69,0.002395833,6,2,6,6,6,1,0,1,1,1,0.002395833,0,0.002395833,0.002395833,0.002395833,0.5,0.5,1,0.002395833,1,735.6773727
SPARK-601,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,130,0,7,3,7,7,7,1,0,1,1,1,0.002395833,0,0.002395833,0.002395833,0.002395833,0,0,0,0,0,279.3038079
SPARK-607,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,259,0.002395833,8,3,8,8,8,1,0,1,1,1,0.002395833,0,0.002395833,0.002395833,0.002395833,0,0,0,0,3,71.47304398
SPARK-613,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,56,0.002395833,9,1,9,9,9,1,0,1,1,1,0.002395833,0,0.002395833,0.002395833,0.002395833,0,0,0,0,4,199.0286921
