name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
WW-2945,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0.004641204,0,0,0,0,0,1,1,1,1,1,0.004641204,0.004641204,0.004641204,0.004641204,0.004641204,1,1,1,0.004641204,0,0.148553241
WW-2948,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,922,0.076597222,0,0,0,0,0,2,2,2,2,2,0.076597222,0.076597222,0.076597222,0.076597222,0.076597222,0,0,0,0,0,1433.703021
WW-2956,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,577,0,1,0,1,1,1,2,0,2,2,2,0.076597222,0,0.076597222,0.076597222,0.076597222,0,0,0,0,0,0.854837963
WW-2966,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,1,1,271,0,1,0,1,1,1,3,1,3,3,3,0.336010802,0.854837963,0.336010802,0.336010802,0.336010802,0,0,0,0,0,5.746967593
WW-2971,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,489,0.076597222,1,0,1,1,1,4,1,4,4,4,1.68875,5.746967593,1.68875,1.68875,1.68875,0,0,0,0,0,76.44569444
WW-2983,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,2,1,66,0,2,1,1,2,2,4,1,2,4,4,1.68875,5.746967593,3.300902778,1.68875,1.68875,0,0,0,0,0,8.895150463
WW-2988,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,16,0,3,1,2,3,3,4,0,2,4,4,1.68875,0,3.300902778,1.68875,1.68875,1,1,1,0.076597222,0,0.008923611
WW-2992,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,8,0.076597222,3,1,2,3,3,5,1,3,5,5,1.352784722,0.008923611,2.203576389,1.352784722,1.352784722,1,1,1,0.054039352,0,34.90204861
WW-2993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,153,0.076597222,4,2,3,4,4,5,1,3,5,5,1.352784722,0.008923611,2.203576389,1.352784722,1.352784722,0,0,0,0,0,68.4734375
WW-2996,3,3,0.333333333,1,1,1,0,0.001515353,0,0,4,3,12,0.25,0,0,0,0,0,0,3,0.75,4,3,2.25,0,3,0,1,0,0,3,1,0,0,1,231,0.854837963,5,2,4,5,5,5,1,3,5,5,1.352784722,0.008923611,2.203576389,1.352784722,1.352784722,0,0,0,0,0,46.1603125
