name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
YARN-13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,70,0,20,1,4,16,20,1,1,1,1,1,21.64575231,21.64575231,21.64575231,21.64575231,21.64575231,0,0,0,0,0,0.017592593
YARN-14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,67,0,20,0,4,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.892141204
YARN-15,3,3,0.333333333,1,1,1,0.666666667,0.002814901,0,0.333333333,4,3,12,0.25,0,0,0,0,2,0.5,3,0.75,4,3,2.25,2,1,2,1,0,1,3,3,1,4,1,49,0.017592593,20,1,4,16,20,2,2,2,2,2,10.83167245,10.83167245,10.83167245,10.83167245,10.83167245,0,0,0,0,1,29.08583333
YARN-22,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,2,1,45,0,19,2,3,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.62733796
YARN-24,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,27,13.76894676,20,1,3,16,20,3,1,3,3,3,9.185162037,5.892141204,9.185162037,9.185162037,9.185162037,0.5,0.5,1,5.892141204,1,224.097581
YARN-25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,35,0,13,0,3,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.19890046
YARN-27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,108,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.7320949
YARN-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,43,77.36722222,19,1,2,14,19,5,2,5,5,5,61.8972963,140.9654977,61.8972963,61.8972963,61.8972963,1,1,1,79.19890046,0,28.26515046
YARN-30,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,1,1,1,1,3,1,87,77.36722222,19,2,3,14,19,6,3,6,6,6,63.93585455,118.6865471,63.93585455,63.93585455,63.93585455,0.5,0.5,1,79.19890046,1,50.16790509
YARN-31,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,1,0,1,1,1,3,1,32,77.36722222,20,3,4,15,20,6,3,6,6,6,63.93585455,118.6865471,63.93585455,63.93585455,63.93585455,0.333333333,0.333333333,1,79.19890046,2,7.316643519
YARN-32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,10,77.36722222,21,4,5,16,21,6,3,6,6,6,63.93585455,118.6865471,63.93585455,63.93585455,63.93585455,0.25,0.25,1,79.19890046,3,58.93333333
YARN-33,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,36,77.36722222,22,5,6,17,22,6,3,6,6,6,63.93585455,118.6865471,63.93585455,63.93585455,63.93585455,0,0,0,0,0,49.21105324
YARN-36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,95,0,23,6,7,17,23,6,3,6,6,6,63.93585455,118.6865471,63.93585455,63.93585455,63.93585455,0,0,0,0,1,15.901875
